event_id,flow_id,transaction_id,transaction_lifecycle_event,created_at,error_details_source,error_details_message,error_details_decline_type,error_details_decision_type,error_details_decline_reason,error_details_decline_reason_v2
f75d223a-dffa-4d83-aaf2-6481c6d5c440,4c072c8a-9eee-4aa6-9d52-73c7f99fda49,0516d8ea-52d3-4875-a7ed-5b11d0cd2d20,,"2021-06-03 07:47:50.610694",,,,,,
fee4c07d-58a3-4b02-9b45-ecc6a4bf5d22,4c072c8a-9eee-4aa6-9d52-73c7f99fda49,0516d8ea-52d3-4875-a7ed-5b11d0cd2d20,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.627768",,,,,,
869ac7ec-4ad5-4555-b5ff-b5a4564e14d7,9ad578fd-c8c0-4206-a2b4-c466df2d8a7a,b9e58084-25f0-434e-af16-e6821dab93f5,,"2021-06-03 07:47:50.635752",,,,,,
4925ef7f-bfae-4305-8bd2-7fb8e87d5ac4,4c072c8a-9eee-4aa6-9d52-73c7f99fda49,0516d8ea-52d3-4875-a7ed-5b11d0cd2d20,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.644138",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
5edc840b-30ad-4981-81c7-880e27bf9a8d,2873a0c6-8ac2-4b6a-986f-670347c60828,39968cad-70ca-469c-a255-377955ae9889,,"2021-06-03 07:47:50.68327",,,,,,
33ef3dd9-257a-46de-b369-5a6015df8c24,912442fa-5118-4ebf-9c8c-31cbcb689110,8a550ab5-d091-43cd-ae01-24a57d9507ec,,"2021-06-03 07:47:50.685215",,,,,,
6053e965-4e8e-4fcc-b502-8574f5854bd1,d5d6cd6e-f3de-4098-b439-aca6f22305e9,b43514da-32f1-4bee-80df-b968ddc3b72b,,"2021-06-03 07:47:50.689204",,,,,,
851a0bf4-3091-4941-b769-b22fe32ec5c5,9ad578fd-c8c0-4206-a2b4-c466df2d8a7a,b9e58084-25f0-434e-af16-e6821dab93f5,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.690476",,,,,,
35ca52ba-d0f3-43eb-93a4-440338085a4d,2873a0c6-8ac2-4b6a-986f-670347c60828,39968cad-70ca-469c-a255-377955ae9889,,"2021-06-03 07:47:50.69166",,,,,,
98516516-8e0c-4985-bf83-5870ed95132d,912442fa-5118-4ebf-9c8c-31cbcb689110,8a550ab5-d091-43cd-ae01-24a57d9507ec,,"2021-06-03 07:47:50.695093",,,,,,
542dd91c-5c25-4a9f-a903-f3b67eab1437,2873a0c6-8ac2-4b6a-986f-670347c60828,39968cad-70ca-469c-a255-377955ae9889,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.703173",,,,,,
b6a839f1-6993-49ae-90d5-27b1bed084ca,d5d6cd6e-f3de-4098-b439-aca6f22305e9,b43514da-32f1-4bee-80df-b968ddc3b72b,,"2021-06-03 07:47:50.706089",,,,,,
4126387d-9e6c-4239-b059-70ec4bc201c6,9ad578fd-c8c0-4206-a2b4-c466df2d8a7a,b9e58084-25f0-434e-af16-e6821dab93f5,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.707918",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
cd9fa64a-e73f-4a25-b941-fb49a1f5918d,ebb37dbf-46f2-4121-843a-f5856e853e7f,7642084b-87a5-4282-a4e2-ce1c055ce212,,"2021-06-03 07:47:50.71677",,,,,,
7d948893-239c-4818-a253-23a6b94e61df,d5d6cd6e-f3de-4098-b439-aca6f22305e9,b43514da-32f1-4bee-80df-b968ddc3b72b,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.719188",,,,,,
7e7bc69c-dc49-4d91-9950-26da6ace0f8b,ebb37dbf-46f2-4121-843a-f5856e853e7f,7642084b-87a5-4282-a4e2-ce1c055ce212,,"2021-06-03 07:47:50.721925",,,,,,
ae2665c8-3c47-48f1-b650-20c648485c33,ebb37dbf-46f2-4121-843a-f5856e853e7f,7642084b-87a5-4282-a4e2-ce1c055ce212,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.728993",,,,,,
f0a6395b-2a4d-43b6-b4d1-a27404280dfd,2873a0c6-8ac2-4b6a-986f-670347c60828,39968cad-70ca-469c-a255-377955ae9889,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.730892",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
487a41b5-1610-4860-ab1b-fa7422eef579,d7227f7f-90d4-430e-a8f0-6d87df41f0b7,5a6a7ec8-a303-40e3-860b-5c0294a35892,,"2021-06-03 07:47:50.735446",,,,,,
a6fd5bb4-375c-4fc3-b332-4257c4e87652,d5d6cd6e-f3de-4098-b439-aca6f22305e9,b43514da-32f1-4bee-80df-b968ddc3b72b,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.736343",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
6116cb61-3129-426d-ae58-b324ff097740,ebb37dbf-46f2-4121-843a-f5856e853e7f,7642084b-87a5-4282-a4e2-ce1c055ce212,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.741374",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
d8a92d1a-fca4-454c-8fcd-8c1181d40244,d7227f7f-90d4-430e-a8f0-6d87df41f0b7,5a6a7ec8-a303-40e3-860b-5c0294a35892,,"2021-06-03 07:47:50.743577",,,,,,
2f1875c6-53f3-45ae-9442-3e783819fd99,d7227f7f-90d4-430e-a8f0-6d87df41f0b7,5a6a7ec8-a303-40e3-860b-5c0294a35892,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.752936",,,,,,
c8d58d1a-9189-42e9-9d64-9fb1d58a4b8d,d6037b02-0011-46b9-a6db-e3b69f9cd259,aad83a6e-9be9-431c-aa47-9f8ad073dc2b,,"2021-06-03 07:47:50.75654",,,,,,
823b9e53-dd62-4670-929a-725fa27b4c31,d6037b02-0011-46b9-a6db-e3b69f9cd259,aad83a6e-9be9-431c-aa47-9f8ad073dc2b,,"2021-06-03 07:47:50.761321",,,,,,
818704f4-329b-45d2-b983-5d0af36d9d28,d6037b02-0011-46b9-a6db-e3b69f9cd259,aad83a6e-9be9-431c-aa47-9f8ad073dc2b,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.767212",,,,,,
d9cd50cc-2372-43f5-bb95-9366b1260d5b,d7227f7f-90d4-430e-a8f0-6d87df41f0b7,5a6a7ec8-a303-40e3-860b-5c0294a35892,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.767598",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
afc87bfb-a747-4699-a948-9ae9b1ad716e,912442fa-5118-4ebf-9c8c-31cbcb689110,8a550ab5-d091-43cd-ae01-24a57d9507ec,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.775822",,,,,,
cd7451d4-172a-47a5-aa13-b99b059dd44c,d6037b02-0011-46b9-a6db-e3b69f9cd259,aad83a6e-9be9-431c-aa47-9f8ad073dc2b,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.781962",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
d2ac176f-ebd8-47b4-96f8-347a398ff050,5dc1d390-662f-4541-b9f0-158288034bc9,e30e3a54-c034-48b2-9b31-9593fa9fb6b7,,"2021-06-03 07:47:50.795361",,,,,,
0e8d63d8-5600-4b17-9f8c-c1edc7da5da7,5dc1d390-662f-4541-b9f0-158288034bc9,e30e3a54-c034-48b2-9b31-9593fa9fb6b7,,"2021-06-03 07:47:50.80733",,,,,,
77bf13f8-836c-4887-bdfd-4ea161346987,912442fa-5118-4ebf-9c8c-31cbcb689110,8a550ab5-d091-43cd-ae01-24a57d9507ec,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.815047",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
acd9bfe9-36f6-4d8f-9f2e-7e42c50cc3ad,36f81630-8210-4802-a277-f29c69a4b598,f010b76a-5c9f-4b68-892e-cd7447dfa61a,,"2021-06-03 07:47:50.815081",,,,,,
f789ceb9-1121-4260-ad21-381d61b48689,36f81630-8210-4802-a277-f29c69a4b598,f010b76a-5c9f-4b68-892e-cd7447dfa61a,,"2021-06-03 07:47:50.875301",,,,,,
61c23e29-f61f-4a8b-a358-5479c72f6ac4,5dc1d390-662f-4541-b9f0-158288034bc9,e30e3a54-c034-48b2-9b31-9593fa9fb6b7,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.890025",,,,,,
43056852-b9e8-4f6f-a21f-90faf597de3e,36f81630-8210-4802-a277-f29c69a4b598,f010b76a-5c9f-4b68-892e-cd7447dfa61a,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.894305",,,,,,
a69236de-c501-4a6b-b253-345c2f5fcf05,5dc1d390-662f-4541-b9f0-158288034bc9,e30e3a54-c034-48b2-9b31-9593fa9fb6b7,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.912976",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
ffb8bcee-3a59-4a9f-8bcc-80b6e519fb79,287a51a6-1747-4b59-adaa-078c2c5c13a8,01026f01-d770-4cfa-9c4a-1884cd071766,,"2021-06-03 07:47:50.925075",,,,,,
c1dc91ce-c6c4-4f6e-9755-ea42ef9fa8bd,287a51a6-1747-4b59-adaa-078c2c5c13a8,01026f01-d770-4cfa-9c4a-1884cd071766,,"2021-06-03 07:47:50.932919",,,,,,
efb2849a-ea2c-4899-8e5c-12a6ca9c09a2,287a51a6-1747-4b59-adaa-078c2c5c13a8,01026f01-d770-4cfa-9c4a-1884cd071766,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.94208",,,,,,
2828e378-1922-4473-959c-591ee7def09f,287a51a6-1747-4b59-adaa-078c2c5c13a8,01026f01-d770-4cfa-9c4a-1884cd071766,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.959312",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
fb6a30cb-6cd7-4ff2-b6a0-074ea880a3e1,36f81630-8210-4802-a277-f29c69a4b598,f010b76a-5c9f-4b68-892e-cd7447dfa61a,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.972832",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
67f77215-981c-4a90-96d2-37d5a73d7408,dec4f3e6-0c3f-409e-a611-3ff6f01f2cc1,5faf24e4-d816-4594-8169-d23fe0f5df77,,"2021-06-03 07:47:50.993158",,,,,,
d4afb857-b7e4-4de3-a535-2c2fb79829d2,5625e145-6c43-47d6-92eb-f5b21465a4c2,ebd58444-6905-49ce-b24c-feab19ca0ebd,,"2021-06-03 07:47:50.992957",,,,,,
bd15f218-f546-4d7a-9d5e-77fde2ce93d1,dec4f3e6-0c3f-409e-a611-3ff6f01f2cc1,5faf24e4-d816-4594-8169-d23fe0f5df77,,"2021-06-03 07:47:51.001773",,,,,,
